title,artist_name,mp3_url
"Idioglossia","Fieldings","https://s3.amazonaws.com/scaramanga-website/songfiles/Idioglossia_MASTER+4.22.mp3"
"Dear John Letter", "Johnny Dowd", "https://s3.amazonaws.com/scaramanga-website/songfiles/11+Dear+John+Letter.mp3"
"Plantation","John Brown's Body","http://s3.amazonaws.com/scaramanga-website/songfiles/23/original.mp3"
"Big Mother","Mrs. Skannotto","http://s3.amazonaws.com/scaramanga-website/songfiles/18/original.mp3"
"13 Birds","Steve Gollnick","http://s3.amazonaws.com/scaramanga-website/songfiles/19/original.mp3"
"Still Ones","New Neighbors","http://s3.amazonaws.com/scaramanga-website/songfiles/22/original.mp3"
"Honchos","The Sutras","http://s3.amazonaws.com/scaramanga-website/songfiles/21/original.mp3"
"Madison","Bronwen Exter","http://s3.amazonaws.com/scaramanga-website/songfiles/20/original.mp3"
"Year of the Rat","Eric Harvey","http://s3.amazonaws.com/scaramanga-website/songfiles/3/original.mp3"
"Ping Pong","Jimkata","http://s3.amazonaws.com/scaramanga-website/songfiles/24/original.mp3"
"No Reason","Plastic Nebraska","http://s3.amazonaws.com/scaramanga-website/songfiles/6/original.mp3"
"Ties that Bind","Mary Lorson & St Low","http://s3.amazonaws.com/scaramanga-website/songfiles/7/original.mp3"
"Light Inside Your Room","Eric Athey","http://s3.amazonaws.com/scaramanga-website/songfiles/17/original.mp3"
"The Last Patrol","The Understudy","http://s3.amazonaws.com/scaramanga-website/songfiles/9/original.mp3"
"Salt of the Sea","Elliot Martin","http://s3.amazonaws.com/scaramanga-website/songfiles/13/original.mp3"

